The Fall/Winter series for 2002 is a best 4 out of 5 event series.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,,,
RANK,CLS,NAME,AUG,SEP,OCT,NOV,DEC,TOTAL,,,,,,,,,,,
1,SS,JOEL SCHOTZ,986,990,827,917, ,3720,,,,,,,,,,,
2,SS,KENNETH FEELEY, , ,755,862,893,2510,,,,,,,,,,,
3,SS,STEVE BURGER,986, , ,928, ,1914,,,,,,,,,,,
4,SS,BOB FRANCIS, , ,907, ,861,1768,,,,,,,,,,,
1,AS,STEVE RYAN, ,1000,898, , ,1898,,,,,,,,,,,
2,AS,WIGGY GREACEN, , ,848, , ,848,,,,,,,,,,,
1,BS,DAVE SKULL,958,960,911,937,935,3790,,,,,,,,,,,
2,BS,DAVE MCCOMBS,958,976,884,953, ,3771,,,,,,,,,,,
3,BS,MARC MCCOMBS, ,972,901,933, ,2806,,,,,,,,,,,
4,BS,PAUL LIALIOS,923, , ,933,942,2798,,,,,,,,,,,
5,BS,DAVID HEINITZ,879,871, , , ,1750,,,,,,,,,,,
6,BS,TOM LIALIOS, , , ,831,761,1592,,,,,,,,,,,
7,BS,JAKE BEGGY, , , ,854, ,854,,,,,,,,,,,
8,BS,JP BRUCE,839, , , , ,839,,,,,,,,,,,
9,BS,MARCO PALMER, , ,810, , ,810,,,,,,,,,,,
10,BS,JONATHAN CASTILLO, , , ,763, ,763,,,,,,,,,,,
1,CS,JASON TRIBLE, ,897,833, ,900,2630,,,,,,,,,,,
2,CS,JIM O'HARRA,901, ,815, ,885,2601,,,,,,,,,,,
3,CS,BRIAN PETERS, , ,891, , ,891,,,,,,,,,,,
4,CS,ADAM SPORLEDER, , , ,712, ,712,,,,,,,,,,,
1,DS,GARNET MORRIS, , ,960, ,963,1923,,,,,,,,,,,
2,DS,JIM BARKS, ,892,823, , ,1715,,,,,,,,,,,
3,DS,BRIAN KRAEMER, , , ,923, ,923,,,,,,,,,,,
4,DS,ANDREW MCCUTCHEN, , , , ,891,891,,,,,,,,,,,
5,DS,BRAD PRATHER, , ,766, , ,766,,,,,,,,,,,
1,ES,RICHARD HARRIS,969, , , ,936,1905,,,,,,,,,,,
2,ES,CARL KOSKI, , , ,906, ,906,,,,,,,,,,,
3,ES,MIKE QUIGLEY, , ,861, , ,861,,,,,,,,,,,
1,FS,DON HYLAND,950,970,921,953, ,3794,,,,,,,,,,,
2,FS,STEVE BURGER, ,974, , , ,974,,,,,,,,,,,
3,FS,BRAD PRATHER, , , ,840, ,840,,,,,,,,,,,
4,FS,SCOTT THOMAS,826, , , , ,826,,,,,,,,,,,
