The Spring/Summer series for 2002 is a best 4 out of 6 event series.,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,FEB ,APR am ,APR pm ,MAY ,JUNE ,JULY ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,,,
1,SS,MARC MCCOMBS, ,999,994,968, ,993,3954,,,,,,,,,,
2,SS,STEVE BURGER, ,978,1000,982,946, ,3906,,,,,,,,,,
3,SS,JOEL SCHOTZ, ,956,971,958, ,948,3833,,,,,,,,,,
4,SS,BOB FRANCIS,838,812,838,654, , ,3142,,,,,,,,,,
5,SS,DAVE MCCOMBS, , , ,985, , ,985,,,,,,,,,,
6,SS,GEORGE DAUPHINE, , , ,969, , ,969,,,,,,,,,,
1,AS,STEVE RYAN,967,971,961,959, ,981,3880,,,,,,,,,,
2,AS,JASON ISLEY, ,998, , , , ,998,,,,,,,,,,
3,AS,BOB ISLEY, ,940, , , , ,940,,,,,,,,,,
1,BS,DAVE SKULL,926,941,934,963,952,957,3813,,,,,,,,,,
2,BS,DAVE MCCOMBS, ,994,981, , ,966,2941,,,,,,,,,,
3,BS,ABRAHAM JONES, ,901,918, , , ,1819,,,,,,,,,,
4,BS,JP BRUCE, ,799,806, , , ,1605,,,,,,,,,,
1,CS,JIM O'HARRA, ,882,902,915,913,933,3663,,,,,,,,,,
2,CS,JASON TRIBLE,874,894,896,903,908, ,3601,,,,,,,,,,
3,CS,BYRON SHORT,993, , , , , ,993,,,,,,,,,,
4,CS,YVONNE SHORT,961, , , , , ,961,,,,,,,,,,
5,CS,DAWN MAXWELL,952, , , , , ,952,,,,,,,,,,
6,CS,MARK JOHNSON,950, , , , , ,950,,,,,,,,,,
7,CS,CLIFF ORBACK, , , , , ,931,931,,,,,,,,,,
8,CS,STEVE REYNOLDS, , , ,619, , ,619,,,,,,,,,,
1,DS,TRAVIS HIGDON, ,1000,940, , , ,1940,,,,,,,,,,
2,DS,MIKE QUIGLEY, , , , ,827,839,1666,,,,,,,,,,
3,DS,JASON RUBIN,954, , , , , ,954,,,,,,,,,,
1,ES,RICHARD HARRIS, ,962,942,952, ,945,3801,,,,,,,,,,
2,ES,TERRY KISE,937,934,937,936, , ,3744,,,,,,,,,,
3,ES,DAVID BARGER, ,882, , ,877,870,2629,,,,,,,,,,
4,ES,CARL KOCKE, , , ,941,859, ,1800,,,,,,,,,,
5,ES,ROBERT LOVE, ,957, , , , ,957,,,,,,,,,,
6,ES,NEIL WORLEY, , , ,924, , ,924,,,,,,,,,,
7,ES,RANDY BERGUM, , , ,916, , ,916,,,,,,,,,,
8,ES,BEN ECKLEY,833, , , , , ,833,,,,,,,,,,
9,ES,JAMES BURTON, , , , , ,789,789,,,,,,,,,,
1,FS,DON HYLAND,964,918,956,981,962,940,3863,,,,,,,,,,
2,FS,JACK DRUMMOND,903,912, ,905,904, ,3624,,,,,,,,,,
3,FS,WIGGY GREACEN, ,962,974, , , ,1936,,,,,,,,,,
4,FS,JASON FUBIAN, , , ,884, , ,884,,,,,,,,,,
5,FS,DENNIS ZYGEL,863, , , , , ,863,,,,,,,,,,
1,GS,KRIS TVEDT,975,962,965,956, ,949,3835,,,,,,,,,,
2,GS,CHRIS SPARLING, ,920,919,910,920,911,3670,,,,,,,,,,
3,GS,RYAN CALHOON, , , , ,880, ,880,,,,,,,,,,
4,GS,SPENCER YARTER, , , , , ,876,876,,,,,,,,,,
1,HS,BUD ADELMAN,890,826,914,923, ,920,3647,,,,,,,,,,
2,HS,DAVID CRUSOE, ,949,963, , , ,1912,,,,,,,,,,
3,HS,ERIC EVANS, ,955,947, , , ,1902,,,,,,,,,,
4,HS,CHRIS SPARLING,898, , , , , ,898,,,,,,,,,,
5,HS,KEN PAULIN, , , , , ,877,877,,,,,,,,,,
6,HS,BILL MARKLEY, , , , , ,813,813,,,,,,,,,,
1,KTJ,KAYLA SMITH, ,661,709,743, ,807,2920,,,,,,,,,,
2,KTJ,JESSE SMITH,714, , , , ,709,1423,,,,,,,,,,
3,KTJ,KYLE SHORT,758, , , , , ,758,,,,,,,,,,
1,STS,MARK EDDY,1000,983,980,997, , ,3960,,,,,,,,,,
2,STS,DAVID ROCK,991,970,988,976,1000, ,3955,,,,,,,,,,
3,STS,JONATHAN EDDY,984,972,954,981,999, ,3936,,,,,,,,,,
4,STS,MIKE JAMES, ,915,903, ,966,924,3708,,,,,,,,,,
5,STS,JOSH HOLDEN,869, , ,922,903, ,2694,,,,,,,,,,
6,STS,JASON BOLES,986, , , , , ,986,,,,,,,,,,
