"The Tucson Event ASC Official results. (Updated May 07, 2003)",,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
1,SS,Steve Eymann,03 Chevrolet/Corvette Z06,48.606,(2),65.303,(20),45.587, ,46.143, ,45.587,2,38.156,2,976,
2,SS,Dave Mc Combs,01 CHEVROLET/CORVETTE Z06,48.113, ,47.890, ,46.398, ,46.471, ,46.398,4,38.835,5,959,
3,SS,Joel Schotz,01 CHEVROLET/CORVETTE Z06,47.870, ,DNF, ,47.856, ,47.004, ,47.004,7,39.342,9,947,
1,CS,Mark Johnson,99 Mazda/Miata,52.420, ,50.706, ,50.561, ,50.320, ,50.320,29,40.960,24,909,
1,DS,Mike Quigley,02 Subaru/WRX,51.570, ,51.436, ,71.327,(20),50.967, ,50.967,36,40.519,17,919,
1,ES,Richard Harris,86 Toyota/MR-2,53.686, ,53.722, ,52.792, ,52.894, ,52.792,46,42.445,36,878,
1,FS,Don Hyland,00 Chevrolet/Camaro Z/28,50.102, ,49.115, ,48.755, ,48.862, ,48.755,15,39.297,7,948,
2,FS,Jack Drummond,01 Chevrolet/Z-28 Camaro,51.993, ,58.519,(2),50.599, ,50.363, ,50.363,30,40.593,19,918,
3,FS,Kelly Lamont,02 Chevy/Camaro,72.168,(20),52.791, ,52.867, ,52.831, ,52.791,45,42.550,38,875,
1,GS,Dane Campbell,03 MNI/CooperS,50.795, ,54.329,(4),76.724,(26),57.282,(6),50.795,34,39.722,13,938,
2,GS,Chris Bunch,02 MINI/Cooper S,53.739, ,53.490, ,54.014, ,52.928, ,52.928,49,41.390,29,900,
3,GS,Larry Bunch,02 MINI/Cooper S,55.338, ,54.156, ,54.007, ,54.112, ,54.007,54,42.233,34,882,
4,GS,Kelly Randall,00 Subaru/Impreza 2.5 RS,57.789, ,55.672, ,55.275, ,55.113, ,55.113,56,43.098,43,864,
1,HS,Mark Shaw,99 VW/Beetle,53.197, ,52.922, ,52.536, ,55.993,(4),52.536,41,40.873,22,911,
1,ASP,Ted Lewis,65 LOTUS/ELAN,47.196, ,46.515, ,45.801, ,49.891,(4),45.801,3,38.748,4,961,
1,BSP,Newton Johnson,91 Corvette/ZR - 1,50.555, ,48.449, ,48.328, ,46.835, ,46.835,6,39.341,8,947,
1,CSP,Travis Higdon,88 Honda/CRX Si,50.819, ,54.637, ,50.286, ,50.354, ,50.286,28,42.190,33,883,
1,ESP,David Schotz,95 Ford Mustang/Cobra R,45.912, ,45.094, ,45.208, ,48.515, ,45.094,1,37.248,1,1000,
2,ESP,Richard Rippy,98 Chevy /Camaro,52.051,(2),49.245, ,66.777,(20),47.774, ,47.774,8,39.461,11,944,
3,ESP,Larry Petrucci,99 Pontiac/Formula,48.639, ,59.992,(4),48.819, ,49.168, ,48.639,14,40.176,16,927,
4,ESP,David Mingus,00 Dodge/Dakota,53.335, ,52.463, ,51.885, ,51.923, ,51.885,38,42.857,40,869,
1,FSP,Jim Harnish,95 Honda/Civic,DNS, ,DNS, ,DNS, ,DNS, ,DNS, , , , ,
1,AP,Greg Duncan,84 Pontiac/Fiero,48.252, ,47.661, ,46.920, ,46.823, ,46.823,5,40.783,21,913,
2,AP,Merrill Niles,VE FORD/COBRA,73.929,(20),54.008, ,53.636, ,54.011,(2),53.636,51,46.717,60,797,
1,CM,Ken Edney,76 Zink/Z10 Formula Ford,50.723, ,48.814, ,49.421, ,48.233, ,48.233,10,44.326,50,840,
2,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,82.039, ,50.533, ,50.022, ,48.990, ,48.990,16,45.022,53,827,
3,CM,Gene Sanders,72 Formula Ford/Caldwell,49.993, ,DNF, ,50.050, ,49.140, ,49.140,18,45.160,54,825,
1,DM,Joe Curry,63 Triumph/Spitfire,52.558,(2),49.141, ,48.532, ,70.386,(20),48.532,12,43.242,44,861,
2,DM,David Lahey,94 Mazda/Miata R,52.104, ,48.936, ,48.541, ,50.848,(2),48.541,13,43.250,45,861,
1,EM,Tom Hill,88 Pontiac /Cadero ,49.661, ,48.342, ,48.261, ,48.665, ,48.261,11,43.387,46,859,
