The Fall series for 2006 is a best 3 out of 5 event series.,,,,,,,,
,,,,,,,,
PAX CLASSES,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV,,,
,NOV ,DEC ,TOTAL,,,,,
1,SS,David Rock,1000,987,992,993,925,2985
2,STX,Mike Quigley,956,1000, ,990,989,2979
3,SS,Elvis Presley,958,988,963,957, ,2909
4,AS,Rob Rockefeller,947,965,966, ,971,2902
5,STS,Jonathan Eddy,950,979,954,956,963,2898
6,ASP/AS,Dave Mccombs, ,973, , ,1000,1973
7,DM,Mark Huffman, ,993, , , ,993
8,ASP,Ted Lewis, ,977, , , ,977
9,CSP,Brian Peters, ,974, , , ,974
10,ESP,Larry Petrucci, ,974, , , ,974
11,ASP,Joel Schotz, ,966, , , ,966
12,BS,Elliot Speidell, ,961, , , ,961
13,STU,Jay Balducci, ,942, , , ,942
14,STU,Chris Sugar,907, , , , ,907
15,CP,Richard Rippy, ,898, , , ,898
16,CP,Steve Steele, ,887, , , ,887
,,,,,,,,
OPEN CLASSES,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV,,,
,NOV ,DEC ,TOTAL,,,,,
1,SS,Tom Evans,940,945,933,929, ,2818
2,SS,Newton Johnson, ,961, , , ,961
1,AS,Stuart Anderson,846,912,896,888, ,2696
2,AS,Gene Sanders,893, , ,987, ,1880
3,AS,Joel Schotz, , , , ,945,945
4,AS,Van Baucum, , ,906, , ,906
5,AS,Bruce Patterson, , ,860, , ,860
6,AS,Al Blankenship, , ,770, , ,770
1,BS,Doug Rowse, ,959, , , ,959
1,CS,Brad Owen, ,949, , ,954,1903
2,CS,John Ellis,822, , , ,905,1727
1,DS,David Vasquez,940,952,964,987, ,2903
2,DS,Tom Fellows,881,903, , , ,1784
1,FS,Don Hyland,912, ,945,956,955,2856
2,FS,Roy Coombes, ,948, , ,968,1916
1,GS,Kris Tvedt,895,918,945,947,963,2855
2,GS,Chris Sparling,915,944, ,937,927,2808
1,ASP,Kim Kemper, ,928, , ,943,1871
2,ASP,Keith Lensch, ,885, ,907, ,1792
3,ASP,Paul Morel, , , ,927, ,927
4,ASP,Bill Schroeder,912, , , , ,912
5,ASP,Gregory Brewer, ,797, , , ,797
1,BSP,Rob Love, , ,958,928,965,2851
2,BSP,Andy Lieber, , ,1000,1000, ,2000
3,BSP,Mike Oswald,923,939, , , ,1862
4,BSP,Jamal Brewer, , ,878,830, ,1708
5,BSP,Gregory Brewer, , ,841,786, ,1627
6,BSP,Francis Miller, ,935, , , ,935
7,BSP,Susan Love, , ,916, , ,916
1,CSP,Zach Heidepriem, , , , ,933,933
2,CSP,Kevin Gleaton, ,914, , , ,914
1,ESP,Matthew White, , ,875,868, ,1743
2,ESP,Michael Starr, ,842, , , ,842
1,FSP,Steven Parsons,788, , , , ,788
1,CP,Jesse Smith,814,894, , ,895,2603
2,CP,Kenny Smith,827,878, , ,836,2541
1,BM,Alan Wagstaffe, ,852, , , ,852
1,DM,Ralph Prince, ,760, , , ,760
1,EM,Greg Duncan,903, , , , ,903
2,EM,Tom Hill,886, , , , ,886
1,STS,Erich Eikenberry, ,866, ,851,904,2621
2,STS,Jon Matthias, ,881,877, , ,1758
3,STS,Clint Child, ,987, , , ,987
4,STS,Britt Dollmeyer, ,951, , , ,951
5,STS,Manfred Reysser, , , , ,945,945
6,STS,David Webb, ,934, , , ,934
7,STS,Zachary Fellows, , , ,913, ,913
8,STS,Zach Fellows,893, , , , ,893
1,STS2,Andrew Gardner,833, , , , ,833
1,STU,Chris Groppi,913,941,954,963,947,2864
2,STU,Scott Douglas,890, , , , ,890
3,STU,Jack Drummond, ,860, , , ,860
1,STX,Gary Ray,904, , , ,934,1838
2,STX,Shea Burns, , , , ,928,928
3,STX,Dennis Jones, ,876, , , ,876
1,SM,Matthew Evans, , , , ,925,925
1,SM2,Dave Skull,872,915,890,899,912,2726
2,SM2,Harry Berzes,877,867, ,911, ,2655
3,SM2,Paul Hamersly, ,921, , , ,921
4,SM2,Jeremy Stein, ,878, , , ,878
1,F125,Keith Lensch,868, , , ,875,1743
1,FJ3,Michelle Lensch,871, , , , ,871
1,FJ4,Kayla Smith,828,638, , ,858,2324
,,,,,,,,
LADIES CLASSES,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV,,,
,NOV ,DEC ,TOTAL,,,,,
1,GS,Kim Sparling,907, , ,892,879,2678
2,BSP,Susan Love, , , ,916,883,1799
3,ASP,Kat Kemper, , , , ,899,899
4,SM2,Debi Hamersly, ,824, , , ,824
5,HS,Sheila Rigg,788, , , , ,788
