"Here are the results! We had 47 competitors for the Event, and no time onlies.",,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,STU,Brian Peters,05 Subaru/STI,55.997,(2),56.004,(2),52.491, ,51.407, ,56.086,(4),51.407,1,42.205,1,1000
2,PAX,STU,Jay Balducci,05 Subaru/STI,63.497,(8),54.979, ,53.802, ,53.625, ,52.575, ,52.575,3,43.164,2,978
3,PAX,SS,Marc Mccombs,06 Corvette/zo6,51.907, ,52.782,(2),52.779,(2),51.741, ,53.089, ,51.741,2,43.876,3,962
4,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,DNF, ,60.488,(4),60.307,(4),57.471,(2),55.524, ,55.524,17,44.697,4,944
5,PAX,STX,Mike Quigley,02 Subaru/WRX,78.279,(20),55.791, ,55.438, ,56.380,(2),59.331,(4),55.438,16,44.794,5,942
6,PAX,BS,Elliot Speidell,04 Mazda/RX-8,64.650,(8),58.293,(4),54.845, ,54.231, ,58.880,(4),54.231,8,44.903,6,940
7,PAX,SS,David Rock,01 Chevrolet/Corvette Zo6,57.974,(2),53.699, ,53.131, ,57.587,(4),53.172, ,53.131,4,45.055,8,937
8,PAX,SS,Joel Schotz,06 Corvette/Z06,58.765, ,53.532, ,57.201,(4),54.731,(2),56.992,(4),53.532,6,45.395,9,930
9,PAX,AS,Rob Rockefeller,00 Honda/S2000,56.118,(2),74.741,(22),57.603,(4),57.055,(4),54.246, ,54.246,9,45.458,10,928
10,PAX,AS,Tage Evanson,00 Honda/S2000,55.130, ,54.298, ,63.252,(10),75.404,(22),56.932,(4),54.298,10,45.502,11,928
11,PAX,BS,Doug Rowse,04 Mazda/RX-8,58.512,(4),58.790,(4),86.432,(30),58.774,(4),55.150, ,55.150,15,45.664,12,924
1,open,SS,Keith Lensch,01 Chevrolet/Corvette Zo6,62.409,(4),56.039, ,55.803, ,58.616,(4),57.187,(2),55.803,18,47.321,25,892
1,open,AS,Bruce Patterson,03 Honda/S2000,62.778, ,61.482, ,59.379, ,58.908, ,58.545, ,58.545,27,49.061,30,860
2,open,AS,Stuart Anderson,04 Porsche/Boxster,63.614,(2),65.078, ,60.286, ,80.915,(2),62.530,(2),60.286,33,50.520,32,835
1,open,DS,Amro Habib,05 INFINITI/G35 SEDAN,61.889,(2),60.849,(2),59.379, ,58.322, ,60.664,(2),58.322,24,46.891,18,900
1,open,GS,Kris Tvedt,03 Toyota/Celica,58.925, ,56.883, ,57.296, ,59.299,(2),57.939, ,56.883,20,45.677,13,924
2,open,GS,Chris Sparling,02 Saab/9-3,61.932, ,57.722, ,57.320, ,59.385,(2),57.136, ,57.136,21,45.880,14,920
