
AZBR SCCA Fall Series 2009 - EVENT VI,,,,,,,,,,,,,,,,
Rank,Class,Name,Year/Make/Model,Run 1,,Run 2,,Run 3,,Run 4,,Best Time,Time Rank,PAX Time,PAX Rank,Cls Pts
PAX Class,,,,,,,,,,,,,,,,
1,ST,Brian Peters,01 Toyota/Celica,65.520,,66.741,(2),64.514,,63.953,,63.953,6,52.314,1,1000
2,ST,David Rock,01 Toyota/Celica,65.098,,66.666,(2),66.923,(2),64.089,,64.089,8,52.425,2,998
3,STU,Clint Child,05 Mitsubishi/EVO RS,66.708,(2),65.469,(2),63.082,,66.159,(4),63.082,3,52.737,3,992
4,STU,Ben Clement,05 Mitsubishi/Evo,65.578,(2),65.902,(2),67.543,(4),64.096,,64.096,9,53.584,6,976
5,XP,Fred Zust,05 Lotus/Elise,88.479,(24),65.279,(6),64.078,(2),61.088,,61.088,1,53.880,7,971
6,ST,Keith Lensch,01 toyota/celica,68.830,,66.853,,66.008,,69.648,(4),66.008,14,53.995,8,969
7,DSP,Doug Rowse,03 BMW/330,75.052,(12),89.077,(26),69.386,(4),64.360,(2),64.360,11,54.384,9,962
8,SM,Larry Petrucci,94 pontiac/Trans Am,85.196,(20),62.959,,67.777,(4),67.836,(4),62.959,2,54.585,11,958
9,AS,Rob Rockefeller,03 Honda/S2000,65.221,,66.816,(2),64.818,,66.491,(2),64.818,12,54.642,12,957
10,DSP,Kevin Gleaton,03 BMW/330,65.331,,69.685,(4),67.142,(2),69.983,(4),65.331,13,55.205,14,948
11,GS,Mindi Cross,06 MINI/Cooper S,77.314,(2),75.718,(2),71.389,,68.848,,68.848,25,56.524,17,926
12,STU,Jonathan Eddy,05 Subaru/WRX STi,92.747,(26),74.056,(2),69.756,(4),67.685,(2),67.685,21,56.585,18,925
13,GS,David Webb,06 MINI/Cooper S,70.301,(2),74.770,(4),70.960,(2),69.822,,69.822,29,57.324,22,913
14,AS,Bill Fisher,03 Honda/S2000,71.152,(2),69.335,(4),74.502,(2),68.100,(2),68.100,23,57.408,24,911
15,GS,Kris Tvedt,03 Toyota/Celica,72.497,,74.652,(4),74.005,(2),76.725,(4),72.497,39,59.520,35,879
16,F125,Mark Eddy,99 kgb/spy,79.046,,DNF,,DNS,,DNS,,79.046,45,75.647,49,692
Open Classes,,,,,,,,,,,,,,,,
1,CS,Ralph Prince,99 wazda/miata,100.213,,DNF,,DNF,,84.395,(4),84.395,47,70.639,47,741
1,FS,Fred Petersen,08 BMW/335i,71.093,,71.318,(2),68.150,,68.525,,68.150,24,56.769,21,922
1,BSP,John Yamasaki,05 Mazda/RX-8,100.155,(20),74.369,,72.806,(2),72.259,,72.259,38,62.070,39,843
1,CSP,David Lahey,90 Mazda/Miata,67.119,,63.322,,63.395,,63.482,,63.322,4,54.584,10,958
2,CSP,Don Sattler,90 Mazda/Miata,72.434,(4),65.246,,67.605,(4),64.306,,64.306,10,55.432,15,944
3,CSP,Gene Sanders,06 Mazda /Miata,69.344,,67.475,,67.228,,69.037,(2),67.228,19,57.951,29,903
1,ST,Andy Ross,91 Honda/Civic,68.743,,79.910,(4),66.862,,67.772,,66.862,17,54.693,13,957
2,ST,Amro Habib,90 Honda/Civic,104.375,(22),74.396,(2),70.124,,90.185,(10),70.124,32,57.361,23,912
3,ST,Thayer Keller,84 VW/Scirocco,78.929,(2),82.309,(6),76.550,,77.549,(2),76.550,41,62.618,40,835
1,STR,Jay Balducci,06 Mazda/MX-5,68.141,(2),71.373,(6),67.853,(2),63.882,,63.882,5,53.405,4,980
2,STR,Larry Burrow,99 Mazda/Miata 10AE,69.244,(2),73.201,,68.067,(2),66.734,,66.734,16,55.790,16,938
3,STR,Mitzi Burrow,99 Mazda/Miata 10AE,72.609,,69.504,,73.155,(4),71.896,(4),69.504,28,58.105,30,900
4,STR,Michael Esser,98 BMW/M Roadster,DNF,,73.662,,71.993,(2),74.070,(4),71.993,37,60.186,37,869
1,STU,Brian Weikert,95 BMW/M3,67.884,(2),64.505,,63.972,,64.121,,63.972,7,53.481,5,978
Novice Class,,,,,,,,,,,,,,,,
1,STS,Keith Garaas,97 Mazda/Miata,75.641,,75.453,,72.894,,71.203,,71.203,35,58.386,32,896
2,STS,Omar Gutierrez,96 Mazda/Miata,73.091,,71.211,,72.715,(2),72.035,(2),71.211,36,58.393,33,896
3,STU,Philip Bohn,08 Pontiac/G6,DNF,,100.847,(24),81.858,(6),76.735,(2),76.735,42,64.150,41,815
4,FS,Justin Floyd,08 DODGE/CHARGER R/T,105.937,(20),77.110,(2),77.090,(2),81.054,(4),77.090,43,64.216,42,815
5,ES,Andrew Haberbosch,94 Mazda/MX-5,87.338,,79.976,,79.054,,78.867,,78.867,44,64.908,43,806
6,SM,Christopher Willett,07 Scion/TC,76.286,,78.132,,81.396,(2),78.354,,76.286,40,66.140,44,791
7,ES,Brady Johnson,95 Mazda/Miata,91.030,,85.957,,86.093,,81.446,,81.446,46,67.030,45,780
8,DS,Gayle Gentile,08 Subaru/Forester,97.704,,93.550,,91.080,,84.987,,84.987,48,69.604,46,752
9,FS,Steve Carter,08 DODGE/CHARGER R/T,DNF,,86.235,(4),96.685,(20),98.409,(20),86.235,49,71.834,48,728
10,DS,Robert Dye,08 Subaru/Forester,157.579,(40),125.089,(20),95.684,,107.824,(20),95.684,50,78.365,50,668
Street Class,,,,,,,,,,,,,,,,
1,AS,Chris Sparling,08 Saturn/Sky,68.487,,69.946,(2),67.747,,67.239,,67.239,20,56.682,19,923
2,DSP,Jeff Israel,04 Volkswagen/Golf R32,81.085,(2),70.763,(4),69.682,(2),67.175,,67.175,18,56.763,20,922
3,SM,Jana Sutton,04 Mini/Cooper S,75.317,(8),66.948,,66.435,,68.440,(2),66.435,15,57.599,25,908
4,CS,Thomas Martell,02 Toyota/MR-2 Spyder,96.105,(22),68.952,,69.903,,77.888,,68.952,26,57.713,26,906
5,CS,Harry Berzes,09 Mazda/Mx5 PRHT Touring,70.630,,70.780,,73.698,(4),69.138,,69.138,27,57.869,27,904
6,ES,Jamal Brewer,95 Mazda/Miata R,75.850,,72.521,,70.937,,70.319,,70.319,33,57.873,28,904
7,BSP,Brad Mccann,08 Saturn /Sky Redline,70.778,(2),87.185,(2),68.525,,67.733,,67.733,22,58.183,31,899
8,FS,Tom Fellows,07 BMW/335i,84.455,,72.135,,71.369,,71.049,,71.049,34,59.184,34,884
9,SS,John Carson,06 Lotus/Elise,90.685,(20),79.457,,69.974,,95.532,(22),69.974,30,59.898,36,873
10,SSM,Stuart Anderson,99 Mazda/Miata,70.680,,76.313,(4),70.076,,73.712,(2),70.076,31,61.387,38,852
Time Only runs (sorted by PAX),,,,,,,,,,,,,,,,
1,STR,Brian Peters,01 Toyota/Celica,68.803,(4),62.384,,61.990,,61.889,,61.889,,51.739,,1011
2,STU,Clint Child,05 Mitsubishi/EVO RS,66.921,(4),64.849,(2),68.266,(6),62.783,,62.783,,52.487,,997
3,XP,Fred Zust,05 Lotus/Elise,60.235,,59.841,,59.844,,66.902,,59.841,,52.780,,991
4,ST,David Rock,01 Toyota/Celica,67.819,(2),65.958,(2),65.390,(2),68.066,(4),65.390,,53.489,,978
5,STR,Jay Balducci,06 Mazda/MX-5,64.753,,67.272,(4),64.690,(2),68.852,(6),64.690,,54.081,,967
6,CSP,David Lahey,90 Mazda/Miata,62.897,,62.879,,85.507,(22),64.975,(2),62.879,,54.202,,965
7,STU,Jonathan Eddy,05 Subaru/WRX STi,65.730,,68.037,(2),64.975,,67.903,(2),64.975,,54.319,,963
8,CSP,Don Sattler,90 Mazda/Miata,86.451,(22),63.691,,63.239,,71.167,(8),63.239,,54.512,,960
9,ST,Keith Lensch,01 toyota/celica,68.125,(2),73.642,(4),68.209,(2),67.355,(2),67.355,,55.096,,950
10,STR,Larry Burrow,99 Mazda/Miata 10AE,66.030,,74.708,(8),67.379,(2),83.765,(4),66.030,,55.201,,948
11,STU,Brian Weikert,95 BMW/M3,73.641,(2),66.071,(2),76.993,(12),66.880,(4),66.071,,55.235,,947
12,AS,Rob Rockefeller,03 Honda/S2000,69.612,(4),65.635,,69.305,(6),67.855,(4),65.635,,55.330,,945
13,DSP,Doug Rowse,03 BMW/330,65.684,(4),67.373,(6),83.038,(20),66.971,(4),65.684,,55.503,,943
14,ST,Amro Habib,90 Honda/Civic,74.470,(2),71.633,(2),68.126,,86.856,(4),68.126,,55.727,,939
15,SM,Jana Sutton,04 Mini/Cooper S,64.425,,72.358,(6),69.008,(2),67.845,(2),64.425,,55.856,,937
16,ST,Andy Ross,91 Honda/Civic,88.621,(20),77.288,(2),68.927,(2),68.512,(2),68.512,,56.043,,933
17,STU,Ben Clement,05 Mitsubishi/Evo,71.491,(6),71.307,(8),67.080,(4),69.631,(6),67.080,,56.079,,933
18,SM,Larry Petrucci,94 pontiac/Trans Am,89.229,(20),64.734,(2),67.051,(4),66.927,(4),64.734,,56.124,,932
19,GS,David Webb,06 MINI/Cooper S,89.933,(20),68.496,,94.695,(22),DNS,,68.496,,56.235,,930
20,GS,Kris Tvedt,03 Toyota/Celica,70.966,,68.795,,68.603,,72.484,(4),68.603,,56.323,,929
21,AS,Chris Sparling,08 Saturn/Sky,68.066,,67.560,,67.575,,67.059,,67.059,,56.531,,925
22,FS,Fred Petersen,08 BMW/335i,67.894,,68.525,,71.179,(2),71.866,(4),67.894,,56.556,,925
23,AS,Bill Fisher,03 Honda/S2000,67.871,(2),67.167,(2),69.578,(4),98.666,(20),67.167,,56.622,,924
24,GS,Mindi Cross,06 MINI/Cooper S,69.426,,73.448,(4),71.297,(2),76.931,,69.426,,56.999,,918
25,DSP,Kevin Gleaton,03 BMW/330,67.626,(4),71.315,(6),78.689,(14),75.927,(12),67.626,,57.144,,915
26,DSP,Jeff Israel,04 Volkswagen/Golf R32,70.369,(2),67.941,,69.237,(2),DNS,,67.941,,57.410,,911
