
AZBR SCCA Summer Series 2009 - EVENT II,,,,,,,,,,,,,,,,
Rank,Class,Name,Year/Make/Model,Run 1,,Run 2,,Run 3,,Run 4,,Run 5,,Best Time,Time Rank,PAX Time,PAX Rank,Cls Pts
PAX Class,,,,,,,,,,,,,,,,,,
1,STU,Ben Clement,05 Mitsubishi/Evo,48.891,,52.543,(4),48.008,,53.667,(6),51.927,(4),48.008,4,40.135,1,1000
2,AS,Rob Rockefeller,03 Honda/S2000,50.009,,48.802,,51.753,(2),49.322,,50.238,,48.802,6,41.140,2,976
3,STU,Jonathan Eddy,05 Subaru/WRX STi,49.719,,DNF,,49.212,,49.324,,71.478,(22),49.212,7,41.141,3,976
4,XP,Fred Zust,01 2005,46.789,,46.704,,48.721,(2),48.652,(2),46.702,,46.702,2,41.191,4,974
5,STX,Mike Quigley,02 subaru/wrx,50.985,,50.126,,50.487,,51.635,(2),51.243,(2),50.126,9,41.204,5,974
6,SSM,Kevin Gleaton,99 Mazda/Miata,51.347,(2),47.735,,47.049,,48.772,(2),47.395,,47.049,3,41.215,6,974
7,GS,Kris Tvedt,03 Toyota/Celica,50.631,,51.522,,51.387,,51.518,,51.560,,50.631,11,41.568,7,966
8,ST,David Rock,01 Toyota/Celica,54.076,,52.128,,51.394,,51.910,,50.862,,50.862,13,41.605,8,965
9,STU,Brian Peters,05 Mitsubishi/Evolution,DNF,,50.808,(2),50.665,(2),52.329,(4),50.255,(2),50.255,10,42.013,10,955
10,ES,Jamal Brewer,95 Mazda/Miata R,76.380,(20),53.758,,52.470,,51.739,,71.952,(20),51.739,15,42.581,11,943
11,ST,Keith Lensch,01 toyota/celica,54.628,,54.427,,53.395,,53.007,,52.728,,52.728,21,43.132,14,931
12,F125,Mark Eddy,99 kgb/spy,71.587,(20),48.804,,48.727,,45.637,(2),46.236,,45.637,1,43.675,17,919
13,AS,Bill Fisher,08 Honda/S2000,54.575,(2),53.643,(2),54.022,(2),54.186,(2),52.501,,52.501,19,44.258,19,907
14,ST,Kurt Brown,99 Honda/Civic,64.282,,70.441,,62.589,(4),58.111,,64.461,(2),58.111,33,47.535,31,844
Open Classes,,,,,,,,,,,,,,,,,,
